year,cma_code,Age of Primary Household Maintainer - 15 - 24,Age of Primary Household Maintainer - 25 - 34,Age of Primary Household Maintainer - 35 - 44,Age of Primary Household Maintainer - 45 - 54,Age of Primary Household Maintainer - 55 - 64,Age of Primary Household Maintainer - Total 65+,Age of Primary Household Maintainer - Total,Mobility of Primary Household Maintainer - 15 - 24,Mobility of Primary Household Maintainer - 25 - 34,Mobility of Primary Household Maintainer - 35 - 44,Mobility of Primary Household Maintainer - 45 - 54,Mobility of Primary Household Maintainer - 55 - 64,Mobility of Primary Household Maintainer - Total 65+,Mobility of Primary Household Maintainer - Total,Household Type - Couple-With-Children,Household Type - Couple-Without-Children,Household Type - Total Lone- Parent Households,Household Type - Multiple- Family,Household Type - Total One- Person Households,Household Type - Other Non-Family,Household Type - Total,Household Size - One-Person Household,Household Size - Two-Person Household,Household Size - Three-Person Household,Household Size - Four-Person Household,Household Size - Five-Or-More-Person Household,Household Size - Total,Immigrant Households - Non-Immigrant,Immigrant Households - Non-Permanent Resident,Immigrant Households - Immigrant,Immigrant Households - Recent Immigrant,Immigrant Households - Total,Households with Seniors - Household Has at Least One Senior (65 or Older),Households with Seniors - Other Household Type,Households with Seniors - Total,Households with Children Under 18 - Household Has at Least One Child Less Than 18 Years Old,Households with Children Under 18 - Other Household Type,Households with Children Under 18 - Total,Activity Limitations - Household Has at Least One Person With Activity Limitations,Activity Limitations - Other Household Type,Activity Limitations - Total,Aboriginal Households - Aboriginal Households,Aboriginal Households - Non-Aboriginal Households,Aboriginal Households - Total,Shelter Costs - Less Than $500 Per Month,Shelter Costs - $500 to $999 Per Month,"Shelter Costs - $1,000 to $1,499 Per Month","Shelter Costs - $1,500 to $1,999 Per Month","Shelter Costs - $2,000 And Over Per Month","Shelter Costs - Total Non-Farm, Non-Band Households",Mortgages - With a Mortgage,Mortgages - Without a Mortgage,Mortgages - Total Private Households With Mortgage Status Known,"Household Income - Less Than $20,000","Household Income - $20,000 to $39,999","Household Income - $40,000 to $59,999","Household Income - $60,000 to $79,999","Household Income - $80,000 to $99,999","Household Income - $100,000 And Over",Household Income - Total,Condominiums - Part of a Condominium,Condominiums - Not Part of a Condominium,Condominiums - Total,Housing Suitability - Suitable,Housing Suitability - Not Suitable (Crowded),Housing Suitability - Total,Value of Owner-occupied Dwellings ($) - Single-Detached,Value of Owner-occupied Dwellings ($) - Semi-Detached,Value of Owner-occupied Dwellings ($) - Row,Value of Owner-occupied Dwellings ($) - Duplex,Value of Owner-occupied Dwellings ($) - Low-Rise Apt.,Value of Owner-occupied Dwellings ($) - High-Rise Apt.,Value of Owner-occupied Dwellings ($) - Other,Value of Owner-occupied Dwellings ($) - Total,Period of Construction and Condition of Dwelling - Needs Only Regular Maintenance,Period of Construction and Condition of Dwelling - Needs Minor Repairs,Period of Construction and Condition of Dwelling - Needs Major Repairs,Period of Construction and Condition of Dwelling - Total
2016,1400/3/Québec,"14,180","55,590","60,705","64,765","73,585","93,070","361,890","13,480","43,840","28,030","18,825","14,910","15,035","134,120","85,050","102,775","31,080","1,470","127,515","14,000","361,890","127,520","130,665","46,490","41,020","16,195","361,890","340,070","2,180","19,640","4,460","361,890","100,115","261,780","361,890","82,550","279,340","361,890","144,130","217,760","361,890","7,445","354,445","361,890","65,090","153,965","84,500","39,860","17,860","361,270","136,840","80,575","217,415","32,995","65,205","67,090","54,010","42,450","100,145","361,890","52,670","309,215","361,890","355,145","6,750","361,890","320,486","253,453","255,690","290,835","242,185","353,081","194,429","300,064","257,380","86,725","17,790","361,890"
2016,1490/3/Regina,"3,900","17,670","17,855","17,650","17,695","20,190","94,955","3,705","14,160","9,255","5,810","3,540","3,460","39,935","26,950","24,690","9,985","1,560","27,010","4,760","94,955","27,010","32,060","14,675","13,405","7,805","94,955","79,445","1,445","14,065","4,625","94,955","21,845","73,110","94,955","27,830","67,125","94,955","51,340","43,615","94,955","9,490","85,460","94,955","9,275","29,275","23,440","17,715","14,750","94,450","41,225","24,680","65,905","5,995","12,780","13,550","12,565","10,830","39,240","94,955","12,730","82,225","94,955","90,225","4,735","94,955","390,728","292,828","333,768","304,486","292,172","268,207","190,013","376,493","63,560","24,615","6,775","94,955"
2016,1600/3/Saint%20John,"1,730","6,890","8,650","10,810","11,110","13,675","52,875","1,625","5,270","3,615","2,765","2,125","2,075","17,480","13,920","15,465","6,030",745,"14,845","1,870","52,875","14,845","19,810","8,390","6,650","3,185","52,875","49,485",305,"3,080",575,"52,875","15,165","37,705","52,875","14,155","38,715","52,875","31,750","21,125","52,875","1,400","51,470","52,875","10,420","22,805","11,655","5,470","2,440","52,790","22,345","14,755","37,095","5,885","10,110","8,875","7,260","5,790","14,950","52,875","1,760","51,115","52,875","51,670","1,205","52,875","216,423","170,937","179,743","179,467","211,518","147,077","67,347","204,722","32,270","16,365","4,230","52,875"
2016,1640/3/St.%20John's,"3,235","14,055","15,660","17,465","16,070","18,530","85,015","3,080","11,175","7,400","4,710","2,945","2,245","31,555","24,760","23,385","9,370","1,155","21,770","4,575","85,015","21,770","30,920","15,390","12,570","4,365","85,015","80,330","1,000","3,690",770,"85,015","20,660","64,355","85,015","23,300","61,720","85,015","44,720","40,290","85,015","3,645","81,365","85,015","9,935","27,900","19,315","15,620","12,165","84,940","39,025","20,435","59,455","7,305","13,255","11,430","10,685","9,365","32,980","85,015","3,195","81,820","85,015","83,485","1,530","85,015","364,693","259,748","226,344","345,203","313,844","348,473","233,455","348,519","64,115","17,300","3,595","85,015"
2016,1700/3/Saskatoon,"5,810","22,605","21,620","21,335","20,930","22,980","115,280","5,480","18,075","11,615","7,550","4,840","4,600","52,160","33,915","30,410","11,175","1,920","30,925","6,935","115,280","30,925","39,340","17,835","16,515","10,665","115,280","96,910","1,460","16,915","4,975","115,280","24,960","90,320","115,280","34,710","80,575","115,280","61,870","53,410","115,280","13,845","101,440","115,280","11,470","33,280","27,035","23,170","19,510","114,460","52,445","27,730","80,180","7,965","15,980","16,440","15,000","13,435","46,455","115,280","20,235","95,050","115,280","109,950","5,335","115,280","419,381","371,651","300,939","371,757","269,237","325,599","144,527","392,273","80,935","28,925","5,420","115,280"
2016,1800/3/Sherbrooke,"5,470","14,245","15,120","17,210","18,870","24,665","95,580","5,265","11,230","7,850","5,680","4,995","5,195","40,210","20,880","26,875","8,925",385,"34,500","4,015","95,580","34,500","34,480","11,310","10,255","5,035","95,580","88,260",905,"6,415","1,210","95,580","26,580","68,995","95,580","22,285","73,290","95,580","42,605","52,970","95,580","1,595","93,985","95,580","21,830","44,260","19,400","6,685","3,090","95,270","33,665","19,830","53,490","13,090","21,355","18,345","13,700","9,620","19,460","95,580","8,420","87,160","95,580","93,550","2,025","95,580","268,525","199,540","189,744","230,809","227,747","279,603","147,165","254,823","68,415","22,340","4,815","95,580"
2016,2000/3/Greater%20Sudbury%20%2F%20Grand%20Sudbury,"2,570","9,885","11,070","14,210","13,845","18,860","70,445","2,420","7,580","4,705","3,890","2,665","2,580","23,835","18,090","20,270","7,765",875,"20,755","2,695","70,445","20,755","26,130","10,615","9,140","3,805","70,445","64,910",300,"5,235",310,"70,445","20,465","49,985","70,445","17,540","52,905","70,445","43,165","27,285","70,445","8,610","61,835","70,445","9,675","26,035","17,550","10,010","7,005","70,275","27,060","19,375","46,435","6,980","11,405","11,140","9,240","7,835","23,840","70,445","1,100","69,345","70,445","68,790","1,655","70,445","306,285","226,524","224,223","252,705","284,602","338,262","181,805","297,561","44,380","20,730","5,335","70,445"
2016,2270/3/Toronto,"48,550","296,120","406,810","497,290","414,990","472,145","2,135,910","44,935","243,150","217,140","159,385","88,875","70,540","824,025","748,270","435,255","245,925","94,240","519,930","92,295","2,135,910","519,930","598,720","373,885","377,120","266,255","2,135,910","888,665","45,220","1,202,025","97,605","2,135,910","590,910","1,544,995","2,135,910","679,230","1,456,685","2,135,910","1,028,530","1,107,380","2,135,910","26,010","2,109,895","2,135,910","138,605","518,035","481,000","401,375","595,210","2,134,225","896,520","522,270","1,418,790","205,390","303,990","305,830","273,140","235,660","811,900","2,135,910","445,650","1,690,260","2,135,910","1,930,485","205,420","2,135,910","884,379","625,953","536,750","769,997","627,584","410,673","664,400","734,893","1,530,110","489,580","116,215","2,135,910"
2016,2320/3/Trois-Rivières,"3,400","9,945","10,370","12,620","15,720","20,450","72,505","3,190","7,630","4,910","3,825","3,705","3,750","27,020","14,450","20,785","7,175",250,"27,265","2,585","72,505","27,260","26,755","8,670","6,900","2,910","72,505","70,060",330,"2,110",470,"72,505","21,820","50,680","72,505","14,970","57,535","72,505","29,990","42,515","72,505","1,505","70,995","72,505","20,930","33,295","12,635","3,840","1,515","72,225","24,970","17,105","42,080","10,785","16,515","14,195","9,830","6,765","14,420","72,505","5,830","66,675","72,505","71,415","1,085","72,505","197,314","158,641","151,087","164,534","180,180",0,"150,700","189,084","51,270","17,000","4,230","72,505"
2016,2410/3/Vancouver,"30,220","142,600","171,450","209,675","188,785","218,165","960,895","28,300","118,105","99,175","80,230","52,205","42,955","420,965","283,245","226,330","91,010","37,740","275,485","47,090","960,895","275,485","300,135","153,020","139,155","93,100","960,895","494,585","28,820","437,485","43,130","960,895","265,510","695,385","960,895","260,595","700,300","960,895","484,990","475,905","960,895","33,285","927,615","960,895","119,965","257,470","202,800","151,540","227,165","958,945","367,480","242,910","610,390","110,775","144,450","142,570","126,425","103,820","332,855","960,895","293,765","667,130","960,895","890,530","70,360","960,895","1,367,462","929,540","558,844","1,307,246","496,672","619,748","280,193","1,004,248","708,425","197,805","54,665","960,895"
2016,2440/3/Victoria,"6,965","22,560","23,675","29,335","33,025","47,175","162,735","6,525","18,665","13,430","10,955","9,910","10,040","69,520","34,790","48,050","13,775","2,480","54,225","9,415","162,735","54,225","60,845","21,800","17,285","8,585","162,735","126,170","2,320","34,245","2,370","162,735","52,090","110,645","162,735","34,470","128,270","162,735","95,285","67,450","162,735","9,155","153,580","162,735","24,220","51,240","34,135","22,645","29,790","162,035","57,615","43,710","101,325","16,485","26,375","26,690","22,665","18,640","51,880","162,735","29,950","132,785","162,735","156,960","5,775","162,735","728,105","547,704","448,170","692,157","363,664","497,857","189,313","629,493","116,945","37,075","8,720","162,735"
2016,2640/3/Windsor,"3,890","15,800","22,090","28,655","27,215","35,270","132,920","3,645","12,250","10,305","8,450","5,995","5,610","46,260","38,485","32,630","16,130","2,225","39,045","4,395","132,920","39,050","43,360","20,230","18,810","11,475","132,920","96,355","1,530","35,035","2,770","132,920","39,150","93,770","132,920","36,515","96,405","132,920","72,085","60,830","132,920","4,835","128,080","132,920","21,830","56,210","31,140","14,595","8,645","132,415","56,390","38,360","94,750","14,890","22,780","22,920","17,910","14,765","39,655","132,920","8,900","124,020","132,920","127,335","5,585","132,920","254,965","198,420","200,309","193,717","194,106","174,420","106,195","246,465","92,915","31,160","8,840","132,920"
2016,2680/3/Winnipeg,"9,880","47,530","55,155","61,490","60,055","72,450","306,550","9,385","38,030","28,605","19,590","12,060","11,425","119,090","89,585","75,600","32,750","6,400","88,370","13,845","306,550","88,375","99,690","46,900","43,340","28,250","306,550","227,015","4,715","74,820","14,110","306,550","80,325","226,225","306,550","86,460","220,090","306,550","172,275","134,275","306,550","42,870","263,680","306,550","53,870","101,065","81,385","43,305","26,085","305,710","129,250","76,335","205,585","28,055","49,120","50,895","44,810","37,270","96,400","306,550","25,350","281,200","306,550","285,040","21,510","306,550","342,533","256,963","251,224","269,860","233,637","256,264","165,613","328,679","199,725","83,385","23,440","306,550"
2016,3300/3/Charlottetown,"1,240","4,140","4,695","5,600","5,800","7,480","28,950","1,200","3,320","2,365","1,830","1,420","1,540","11,685","7,845","8,140","2,995",285,"8,250","1,430","28,950","8,255","10,620","4,480","3,750","1,845","28,950","25,960",385,"2,600",970,"28,950","8,110","20,840","28,950","7,770","21,180","28,950","16,880","12,070","28,950",700,"28,250","28,950","4,140","12,680","7,540","2,975","1,320","28,655","10,860","7,025","17,885","3,310","5,350","5,025","4,350","3,285","7,625","28,950",975,"27,970","28,950","28,135",810,"28,950","237,870","244,096","234,098","294,896","320,330",0,"84,236","232,810","18,725","8,510","1,710","28,950"
2021,0140/3/Calgary,"14,635","91,415","125,620","113,420","105,335","113,015","563,440","13,875","74,070","66,225","37,565","24,885","21,155","237,775","184,615","139,790","51,805","14,790","143,215","29,220","563,440","143,215","180,700","90,155","91,625","57,740","563,440","359,705","9,150","194,590","24,995","563,440","135,005","428,430","563,440","179,365","384,075","563,440","301,215","262,225","563,440","26,145","537,290","563,440","29,265","126,075","113,065","109,240","185,130","562,780","262,200","134,560","396,760","19,545","58,840","67,330","69,755","65,280","282,700","563,440","134,255","429,185","563,440","536,095","27,345","563,440","593,000","467,600","328,800","508,400","284,800","392,400","144,800","528,500","415,620","123,165","24,655","563,440"
2021,0340/3/Edmonton,"18,600","93,100","116,580","99,955","101,295","119,090","548,625","17,820","73,380","60,340","34,590","24,475","21,360","231,970","167,145","136,200","56,710","11,950","146,705","29,915","548,625","146,705","179,220","85,520","82,720","54,455","548,625","384,145","8,755","155,720","21,675","548,625","138,005","410,620","548,625","166,620","382,005","548,625","315,945","232,675","548,625","44,560","504,065","548,625","27,650","137,285","113,710","105,335","161,950","545,925","243,365","131,880","375,245","18,215","62,885","68,410","71,250","65,775","262,085","548,625","112,600","436,025","548,625","518,515","30,110","548,625","484,000","362,800","264,000","422,400","245,200","318,000","167,600","434,000","389,730","130,615","28,280","548,625"
2021,0370/3/Fredericton,"2,575","6,910","7,830","7,805","8,680","12,560","46,360","2,505","5,560","3,890","2,565","2,010","2,280","18,815","11,795","13,985","4,375",520,"13,180","2,505","46,360","13,180","17,885","6,925","5,660","2,710","46,360","41,600",640,"4,120","1,140","46,360","13,735","32,625","46,360","11,560","34,795","46,360","30,210","16,145","46,360","2,700","43,655","46,360","8,165","14,810","12,890","6,370","3,510","45,745","19,120","13,100","32,225","2,090","6,825","7,495","7,055","5,945","16,950","46,360","2,010","44,345","46,360","44,980","1,380","46,360","278,800","259,000","241,000","281,600","236,800","360,000","105,400","259,600","29,775","13,380","3,205","46,360"
2021,0460/3/Guelph,"2,265","9,510","11,630","11,845","12,755","16,165","64,175","2,210","7,720","5,955","3,720","2,865","3,045","25,510","19,640","16,785","6,200","1,545","16,435","3,570","64,175","16,435","21,335","10,250","10,250","5,900","64,175","46,545",790,"16,840","1,800","64,175","18,580","45,600","64,175","18,110","46,065","64,175","38,715","25,465","64,175","1,490","62,685","64,175","3,580","16,735","12,110","12,185","19,350","63,965","27,210","16,730","43,945","2,375","6,920","8,120","8,365","7,710","30,685","64,175","10,915","53,260","64,175","60,890","3,290","64,175","867,000","655,000","586,000","797,000","516,000","455,600","600,000","789,000","47,150","14,015","3,010","64,175"
2021,0580/3/Halifax,"9,190","33,885","34,235","34,295","38,945","50,585","201,140","8,825","27,995","17,980","10,740","9,375","9,450","84,370","48,460","57,245","19,395","2,755","59,555","13,720","201,140","59,555","75,240","30,835","24,210","11,295","201,140","171,725","6,580","22,830","5,980","201,140","56,250","144,885","201,140","48,230","152,910","201,140","127,990","73,145","201,140","11,140","190,000","201,140","21,315","54,135","54,425","40,715","29,995","200,590","74,705","42,965","117,675","10,530","28,140","31,225","28,765","25,490","76,995","201,140","12,645","188,495","201,140","192,200","8,935","201,140","418,000","302,000","377,600","468,800","350,000","412,800","137,200","396,000","132,275","55,680","13,185","201,140"
2021,0610/3/Hamilton,"5,620","39,460","52,420","56,555","63,565","89,765","307,385","5,355","31,180","26,085","16,190","12,860","13,985","105,655","93,270","76,890","35,090","7,260","83,290","11,595","307,385","83,290","100,280","48,875","47,255","27,685","307,385","207,960","4,865","94,555","7,650","307,385","101,315","206,065","307,385","84,400","222,985","307,385","182,260","125,125","307,385","8,890","298,490","307,385","20,080","88,960","59,245","50,960","87,565","306,815","126,655","83,620","210,270","13,355","38,395","41,740","39,460","35,455","138,980","307,385","44,570","262,810","307,385","290,775","16,605","307,385","897,000","669,000","659,000","768,000","540,000","508,400","638,000","826,000","217,175","72,105","18,100","307,385"
2021,0670/3/Kelowna,"3,585","12,550","14,780","14,760","18,995","29,665","94,335","3,455","10,575","8,980","6,590","7,305","8,290","45,200","21,160","31,115","7,735","1,825","26,810","5,690","94,335","26,810","37,685","12,595","10,970","6,270","94,335","77,320","1,465","15,550","1,345","94,335","33,040","61,295","94,335","20,665","73,675","94,335","55,940","38,395","94,335","7,205","87,130","94,335","14,395","20,635","16,115","15,585","27,055","93,790","38,215","28,080","66,300","4,040","13,055","13,830","13,520","11,530","38,355","94,335","22,105","72,230","94,335","91,155","3,180","94,335","922,000","716,000","554,000","899,000","428,000","643,000","241,600","775,000","72,745","17,875","3,715","94,335"
2021,0850/3/Kitchener%20-%20Cambridge%20-%20Waterloo,"7,940","35,945","40,890","40,960","41,455","51,875","219,060","7,615","29,495","20,740","12,960","9,265","9,320","89,400","69,020","56,080","22,630","5,140","54,330","11,860","219,060","54,330","72,170","35,690","35,155","21,710","219,060","145,400","7,460","66,200","8,545","219,060","59,910","159,150","219,060","64,680","154,380","219,060","124,505","94,555","219,060","5,545","213,520","219,060","16,915","55,180","44,920","44,695","56,820","218,525","88,870","52,210","141,085","8,885","24,905","30,050","29,235","26,550","99,430","219,060","30,375","188,685","219,060","205,975","13,085","219,060","793,000","569,500","556,000","704,000","498,400","425,600","436,000","731,000","161,260","47,920","9,880","219,060"
2021,0950/3/London,"7,960","33,790","37,525","37,845","43,255","61,865","222,240","7,615","27,320","19,905","13,130","10,825","12,565","91,350","59,885","57,910","24,240","3,310","65,275","11,620","222,240","65,275","76,405","32,890","29,505","18,165","222,240","161,725","6,560","53,950","6,160","222,240","68,075","154,165","222,240","57,710","164,530","222,240","134,075","88,165","222,240","7,550","214,690","222,240","20,865","68,315","56,020","37,580","38,120","220,905","83,215","54,635","137,850","11,745","32,330","35,640","32,175","27,420","82,930","222,240","30,395","191,845","222,240","210,605","11,635","222,240","624,500","416,000","455,200","525,500","420,800","369,600","285,000","586,000","161,270","49,040","11,930","222,240"
2021,1040/3/Moncton,"2,735","9,825","11,890","12,095","12,160","18,475","67,185","2,655","7,850","6,050","4,250","3,295","4,455","28,560","16,700","19,960","6,315",815,"19,375","4,025","67,185","19,375","25,700","10,255","8,290","3,565","67,185","60,095","1,825","5,270","2,025","67,185","20,340","46,840","67,185","16,780","50,405","67,185","43,060","24,125","67,185","2,435","64,745","67,185","8,915","24,345","20,200","8,820","4,825","67,110","28,940","15,875","44,815","3,100","11,010","11,810","10,405","8,775","22,085","67,185","3,620","63,560","67,185","65,080","2,100","67,185","254,800","225,000","197,200","236,000","238,400",**,"95,800","240,600","45,835","17,500","3,850","67,185"
2021,1060/3/Montréal,"57,185","277,420","343,800","336,365","350,645","470,300","1,835,705","54,425","229,230","187,075","118,010","86,535","90,190","765,465","480,870","429,815","195,525","17,940","631,040","80,515","1,835,705","631,040","585,225","258,115","234,590","126,735","1,835,705","1,252,635","72,000","511,065","58,475","1,835,705","522,845","1,312,865","1,835,705","476,235","1,359,475","1,835,705","872,835","962,865","1,835,705","29,645","1,806,065","1,835,705","208,095","686,370","432,330","269,340","238,495","1,834,620","650,550","346,655","997,205","100,710","307,230","302,610","257,060","215,570","652,530","1,835,705","342,525","1,493,175","1,835,705","1,730,305","105,400","1,835,705","511,200","496,800","505,200","569,500","450,400","500,400","369,200","500,400","1,233,370","479,485","122,850","1,835,705"
2021,1160/3/St.%20Catharines%20-%20Niagara,"3,755","20,075","25,335","29,500","38,565","61,990","179,225","3,500","15,525","12,465","9,445","10,430","11,840","63,210","44,950","51,675","20,335","3,500","51,465","7,290","179,225","51,465","65,495","26,765","22,150","13,350","179,225","137,155","2,415","39,650","2,560","179,225","68,610","110,615","179,225","41,770","137,455","179,225","109,555","69,670","179,225","7,425","171,800","179,225","17,565","61,075","41,165","29,350","29,280","178,440","71,880","55,400","127,280","8,250","27,920","30,210","26,590","22,780","63,480","179,225","12,825","166,400","179,225","172,470","6,750","179,225","642,000","473,200","542,500","529,500","470,000","395,600","446,000","616,000","127,875","41,310","10,040","179,225"
2021,1250/3/Oshawa,"1,775","18,225","29,420","30,515","31,540","37,580","149,050","1,585","14,420","15,355","9,490","7,040","6,645","54,525","53,210","34,510","19,320","5,325","31,330","5,350","149,050","31,330","45,425","27,075","27,700","17,515","149,050","105,885","1,050","42,105","3,410","149,050","44,405","104,645","149,050","50,770","98,275","149,050","87,680","61,370","149,050","5,285","143,765","149,050","6,780","35,425","25,590","25,175","55,800","148,770","75,410","36,015","111,425","4,590","14,295","17,975","18,425","17,520","76,240","149,050","11,070","137,975","149,050","141,815","7,230","149,050","835,000","596,000","628,000","732,000","546,000","504,000","550,000","788,000","107,300","34,890","6,855","149,050"
2021,1265/3/Ottawa,"15,260","68,015","80,175","84,685","90,850","114,595","453,575","14,520","56,345","43,645","27,625","20,850","20,340","183,320","132,155","119,570","44,865","7,105","126,460","23,430","453,575","126,460","153,810","68,935","66,215","38,160","453,575","319,280","10,550","123,750","15,030","453,575","130,500","323,075","453,575","124,105","329,475","453,575","276,210","177,370","453,575","18,525","435,050","453,575","25,385","116,505","93,150","92,485","124,940","452,470","179,600","117,455","297,050","18,680","44,350","50,225","54,665","52,765","232,895","453,575","67,705","385,870","453,575","430,525","23,055","453,575","738,000","591,500","504,800","710,000","475,600","424,000","315,500","654,000","316,555","112,700","24,325","453,575"
2021,1400/3/Québec,"14,490","58,790","67,415","60,845","74,225","112,185","387,955","14,075","48,950","33,060","20,375","18,585","22,745","157,785","85,070","111,260","31,225","1,270","145,805","13,325","387,955","145,805","138,220","44,770","41,555","17,600","387,955","355,550","7,005","25,400","4,910","387,955","120,040","267,915","387,955","87,305","300,650","387,955","171,790","216,165","387,955","9,690","378,265","387,955","60,145","152,085","92,870","51,845","30,465","387,415","143,465","82,210","225,675","16,085","63,160","67,760","56,255","46,560","138,140","387,955","60,280","327,675","387,955","381,060","6,895","387,955","353,600","276,800","283,600","322,000","260,400","366,000","215,200","329,600","281,565","87,870","18,520","387,955"
2021,1490/3/Regina,"3,865","16,350","20,820","16,810","18,370","23,995","100,210","3,700","12,435","10,060","5,710","3,800","4,150","39,860","28,315","25,575","10,705","1,515","29,165","4,935","100,210","29,165","33,630","14,835","13,975","8,610","100,210","80,385","2,090","17,735","4,425","100,210","26,170","74,045","100,210","29,695","70,515","100,210","59,360","40,855","100,210","11,275","88,935","100,210","5,875","31,055","24,190","18,990","19,710","99,820","43,125","25,185","68,310","3,575","12,435","14,010","13,580","12,095","44,520","100,210","14,380","85,830","100,210","94,520","5,690","100,210","395,200","311,600","307,600","325,000","263,600","231,200","109,200","376,400","66,560","26,405","7,250","100,210"
2021,1600/3/Saint%20John,"1,645","7,265","8,970","9,565","11,915","16,505","55,865","1,550","5,800","4,275","3,105","2,790","3,270","20,790","13,630","16,285","6,185",850,"16,545","2,375","55,865","16,545","20,915","8,455","6,535","3,425","55,865","51,430",690,"3,745",950,"55,865","18,280","37,585","55,865","14,035","41,830","55,865","36,170","19,695","55,865","1,930","53,930","55,865","9,550","22,515","13,460","6,360","3,930","55,820","23,030","15,620","38,650","2,735","9,605","9,715","7,995","6,780","19,035","55,865","2,060","53,805","55,865","54,275","1,595","55,865","250,000","204,400","194,200","204,000","222,400","192,000","87,200","236,200","34,770","16,725","4,365","55,865"
2021,1640/3/St.%20John's,"3,265","13,155","16,150","16,560","17,710","23,160","90,000","3,130","10,185","6,890","4,165","3,395","3,355","31,120","24,150","24,730","9,775","1,115","25,500","4,725","90,000","25,500","32,670","15,210","12,295","4,320","90,000","84,155","1,525","4,325","1,005","90,000","25,950","64,045","90,000","22,990","67,010","90,000","54,270","35,730","90,000","4,195","85,805","90,000","9,710","28,790","19,595","16,715","15,135","89,945","39,785","22,630","62,420","4,380","13,535","12,985","11,555","10,220","37,325","90,000","3,935","86,065","90,000","88,220","1,775","90,000","359,200","269,600","225,400","337,600","310,800","320,000","264,000","344,000","65,865","20,400","3,730","90,000"
2021,1700/3/Saskatoon,"5,800","22,230","25,690","20,580","22,295","28,505","125,105","5,550","16,865","12,765","7,050","5,440","5,750","53,420","36,565","32,750","12,205","1,860","34,470","7,245","125,105","34,470","42,490","18,635","17,905","11,605","125,105","101,960","1,985","21,155","5,225","125,105","31,315","93,785","125,105","37,505","87,595","125,105","74,385","50,715","125,105","16,160","108,940","125,105","7,910","35,335","28,585","24,960","27,545","124,340","55,275","29,460","84,735","5,165","16,005","17,405","17,310","15,020","54,195","125,105","24,565","100,535","125,105","119,065","6,035","125,105","434,800","349,200","290,000","411,600","256,800","327,000","142,800","402,800","89,530","30,275","5,295","125,105"
2021,1800/3/Sherbrooke,"6,090","15,815","16,515","15,765","19,595","30,875","104,650","5,920","12,980","8,640","5,930","5,965","7,770","47,210","21,095","29,695","9,105",345,"40,190","4,230","104,650","40,190","37,310","11,395","10,210","5,545","104,650","95,240","1,840","7,565","1,350","104,650","33,025","71,630","104,650","22,710","81,940","104,650","51,185","53,465","104,650","2,455","102,190","104,650","19,545","48,440","22,070","9,130","5,245","104,430","35,885","21,270","57,155","6,465","22,060","19,895","14,965","11,700","29,560","104,650","9,900","94,750","104,650","102,365","2,285","104,650","334,000","250,800","237,400","275,200","268,000","312,000","200,000","314,800","75,510","23,870","5,275","104,650"
2021,2000/3/Greater%20Sudbury%20%2F%20Grand%20Sudbury,"2,775","10,040","11,620","12,240","15,215","21,500","73,385","2,645","7,435","4,990","3,650","3,245","3,360","25,320","17,745","20,840","8,165","1,005","22,515","3,125","73,385","22,515","26,780","10,820","9,090","4,180","73,385","66,840","1,140","5,405",545,"73,385","23,525","49,860","73,385","17,625","55,760","73,385","48,480","24,905","73,385","10,660","62,725","73,385","7,715","24,965","18,455","12,080","10,015","73,230","28,025","19,560","47,580","3,600","10,205","11,005","10,010","8,330","30,235","73,385","1,380","72,010","73,385","71,330","2,060","73,385","388,400","299,600","269,000","332,000","350,000","360,000","165,000","377,600","47,395","20,760","5,235","73,385"
2021,2270/3/Toronto,"46,980","311,125","417,780","459,580","463,850","563,165","2,262,475","43,085","254,730","219,205","133,140","87,875","75,595","813,630","764,080","471,345","255,260","96,790","565,465","109,535","2,262,475","565,465","644,120","390,885","386,755","275,250","2,262,475","880,060","79,485","1,302,925","124,865","2,262,475","692,155","1,570,320","2,262,475","674,820","1,587,650","2,262,475","1,143,860","1,118,610","2,262,475","25,825","2,236,645","2,262,475","102,795","468,730","395,950","373,255","920,585","2,261,315","908,175","563,705","1,471,880","108,855","264,185","268,775","272,180","252,230","1,096,245","2,262,475","539,725","1,722,750","2,262,475","2,030,500","231,975","2,262,475","1,336,000","967,000","839,000","1,158,000","960,000","665,000","1,033,000","1,112,000","1,647,515","500,110","114,845","2,262,475"
2021,2320/3/Trois-Rivières,"3,485","10,315","11,775","10,700","15,710","24,650","76,635","3,360","8,210","5,430","3,725","4,125","5,460","30,300","14,065","22,050","6,835",335,"30,650","2,700","76,635","30,650","27,735","8,190","6,840","3,220","76,635","72,515","1,265","2,855",485,"76,635","26,535","50,095","76,635","15,200","61,430","76,635","35,040","41,595","76,635","1,900","74,735","76,635","19,410","35,710","14,165","4,740","2,330","76,355","25,785","17,865","43,655","4,990","16,715","15,270","10,725","8,405","20,520","76,635","7,565","69,065","76,635","75,505","1,130","76,635","236,200","194,200","182,400","203,200","219,800","160,000","161,000","227,200","55,130","17,150","4,355","76,635"
